"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.GEPD.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",77,"Needs Improvement",2022,"cty","PAK-KP"
"SE.GEPD.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)",77,"Needs Improvement",2022,"cty","PAK-KP"
"SE.GEPD.PRIM.BMP","Proficiency by End of Primary",35,"Needs Improvement",2022,"cty","PAK-KP"
"SE.GEPD.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS",35,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ATTD","Student Attendance",85,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit",85,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female",87.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male",83.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural",85,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban",87.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing",1.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.",1.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BFIN.5","(Financing) - Equity",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management",3.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators",4.4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials",4.4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BNLG","Politics & Bureaucratic Capacity - National Learning Goals",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BNLG.1","Average score for National Learning Goals; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BNLG.2","(National Learning Goals) Average score for targeting",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BNLG.3","(National Learning Goals) Average score for monitoring",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BNLG.4","(National Learning Goals) Average score for incentives",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BNLG.5","(National Learning Goals) Average score for community engagement",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.BQBR","Politics & Bureaucratic Capacity - Characteristics of Bureaucracy",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.1","Average score for Characteristics of Bureaucracy; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.2","(Characteristics of Bureaucracy) average score for knowledge and skills",4.7,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.3","(Characteristics of Bureaucracy) average score for work environment",4.3,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.4","(Characteristics of Bureaucracy) average score for merit",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.BQBR.5","(Characteristics of Bureaucracy) average score for motivation and attitudes",3.9,"Caution",2022,"cty","PAK-KP"
"SE.PRM.CONT","Teacher Content Knowledge",5.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1","(De Facto) Percent of teachers proficient in the subjects they teach",5.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1.F","(De Facto) Percent of teachers proficient in the subjects they teach - Female",2.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.CONT.1.M","(De Facto) Percent of teachers proficient in the subjects they teach - Male",5.9,"Needs Improvement",2022,"cty","PAK-KP"
