"Series","Indicator Name","Source","Source Organization","Source Note","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N"
"SE.LPV.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP","Proficiency by End of Primary","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.PRM.ATTD","Student Attendance","Global Education Policy Dashboard","World Bank","School Survey.  Percent of 4th grade students who are present during an unannounced visit.",87.175398133789,1.8158298567226034,83.59421113394649,90.75658513363152,3.2972380685652305,199
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit","Global Education Policy Dashboard","World Bank",NA,87.175398133789,1.8158298567226034,83.59421113394649,90.75658513363152,3.2972380685652305,199
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female","Global Education Policy Dashboard","World Bank",NA,84.89406978603549,2.485761721353555,79.99164044869399,89.79649912337699,6.17901133534659,135
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male","Global Education Policy Dashboard","World Bank",NA,89.62917220555835,2.0732913670536477,85.54021857199525,93.71812583912144,4.298537092699183,152
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural","Global Education Policy Dashboard","World Bank",NA,87.12395686407581,1.9214588087857027,83.32173663812381,90.9261770900278,3.692003953860172,129
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban","Global Education Policy Dashboard","World Bank",NA,88.01994150343799,2.52372459530323,82.98392748202504,93.05595552485094,6.369185832938451,70
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing","Global Education Policy Dashboard","World Bank","Expert Survey.",NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.5","(Financing) - Equity","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making","Global Education Policy Dashboard","World Bank","Survey of Public officials. This module assesses the extent to which bureaucrats implement policies in an impartial way, meaning that decisions are free from political clientelism or undue influence from any single interest group.   Average score (1 (worst) , 5 (best)) on items given to public officials.",3.5776510375866786,0.0757497885697362,3.427870712339894,3.727431362833463,0.005738030468359737,139
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,3.5776510375866786,0.0757497885697362,3.427870712339894,3.727431362833463,0.005738030468359737,139
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management","Global Education Policy Dashboard","World Bank",NA,3.3973501183146197,0.1057864961529447,3.1881781047727085,3.606522131856531,0.011190782768316984,139
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making","Global Education Policy Dashboard","World Bank",NA,4.143765909981182,0.06101664863275058,4.023117474516988,4.264414345445376,0.003723031410372543,131
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation","Global Education Policy Dashboard","World Bank",NA,3.047961631267191,0.13241792723697315,2.7861311947135654,3.3097920678208164,0.017534507453736317,139
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators","Global Education Policy Dashboard","World Bank",NA,4.067183466844781,0.06778752673569341,3.9331469501250007,4.2012199835645605,0.004595148780942348,129
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability","Global Education Policy Dashboard","World Bank","Survey of Public officials.  The aim of this indicator is to measure the extent to which the mandates are clearly defined and allocated in the legislation, as well as whether such allocation is reflected in practice.  Average score (1 (worst) , 5 (best)) on items given to public officials.",4.051452040672302,0.042906518746413616,3.9666128291789433,4.136291252165662,0.0018409693509363432,132
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,4.051452040672302,0.042906518746413616,3.9666128291789433,4.136291252165662,0.0018409693509363432,132
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence","Global Education Policy Dashboard","World Bank",NA,3.8782051535753106,0.055306289359339254,3.7688478317286833,3.987562475421938,0.0030587856426989623,130
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency","Global Education Policy Dashboard","World Bank",NA,3.8573232446656083,0.06003157776938856,3.7386225933086883,3.9760238960225283,0.0036037903294821472,132
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials","Global Education Policy Dashboard","World Bank",NA,4.428030299417901,0.06543411193758554,4.2986471981142795,4.557413400721522,0.004281623005060475,132
