"Series","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N","Indicator Name","Source","Source Organization","Source Note"
"SE.PRM.LERN",2.4217825303224565,2.1384891729899413,-1.7960274039118582,6.639592464556771,4.573135942995203,3797,"Proficiency on GEPD Assessment","Global Education Policy Dashboard","World Bank","The fraction of students scoring at least 80% on 4th grade math and language student assessment."
"SE.PRM.LERN.1",2.4217825303224565,2.1384891729899413,-1.7960274039118582,6.639592464556771,4.573135942995203,3797,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.F",3.951022397226406,3.4928735759016543,-2.9533135486135236,10.855358343066335,12.200165817232008,2015,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.M",0.6090894112900804,0.510718354814086,-0.4014541098576816,1.6196329324378425,0.26083323794400665,1781,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.R",1.474113853835923,0.9150592835158257,-0.33690203572230026,3.2851297433941467,0.8373334923484962,2217,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.1.U",2.573208734955454,2.478419875276595,-2.372401125197219,7.518818595108127,6.142565078166053,1580,"(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2",3.5003931531860073,2.0353704953481637,-0.5140325467692581,7.514818853141273,4.14273305333383,3797,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.F",5.33908107878685,3.2637418022607156,-1.112331877799221,11.790494035372921,10.652010551824024,2015,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.M",1.320894028871127,0.6975799889791113,-0.05938716075202999,2.701175218494284,0.4866178410240971,1781,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.R",3.7623224776830058,1.5527796249304329,0.6891788853611671,6.835466070004845,2.411124563599096,2217,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.2.U",3.458539956520571,2.345784228629018,-1.2223995915467554,8.139479504587896,5.502703647284637,1580,"(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3",2.0161298595002335,1.916672982266946,-1.7641849755667662,5.796444694567233,3.6736353209520685,3797,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.F",3.3969249806236372,3.303947933639203,-3.1339631221672293,9.927813083414504,10.916071948198757,2015,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.M",0.3793965588433005,0.28826935392911807,-0.19099360867782755,0.9497867263644285,0.08309922041471114,1781,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.R",0.6158515059629842,0.5312575585768005,-0.4355731365299792,1.6672761484559477,0.2822345935449826,2217,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.LERN.3.U",2.239877717551234,2.2185783339636322,-2.1872264198165774,6.666981854919046,4.922089823932846,1580,"(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT",83.5994514665149,2.5552346495319744,78.56000733876645,88.63889559426336,6.529224114168792,1275,"Teacher Presence","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1",82.31801401965116,2.5968589800144146,77.1964782186939,87.43954982060842,6.743676562081506,1275,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.F",0,0,NA,NA,0,0,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.M",83.38377959073583,2.2340303593157773,78.9474380499029,87.82012113156875,4.990891646344581,604,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.R",89.75674800343593,2.422083075113299,84.9638826997286,94.54961330714326,5.866486422750294,638,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.1.U",81.49029185723246,2.8270753787759424,75.84895077207482,87.13163294239011,7.992355197281138,637,"(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2",83.5994514665149,2.5552346495319744,78.56000733876645,88.63889559426336,6.529224114168792,1275,"(De Facto) Percent of teachers present in their schools during an announced visit","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.F",0,0,NA,NA,0,0,"(De Facto) Percent of teachers present in their schools during an announced visit - Female","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.M",84.57166787903247,2.008517448406824,80.58315028584096,88.56018547222399,4.034142340554659,604,"(De Facto) Percent of teachers present in their schools during an announced visit - Male","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.R",92.3725792154454,1.7670101818768464,88.87598494952867,95.86917348136213,3.122324982856446,638,"(De Facto) Percent of teachers present in their schools during an announced visit - Rural","Global Education Policy Dashboard","World Bank",NA
"SE.PRM.EFFT.2.U",82.62324875684017,2.7754669066764817,77.08489077435556,88.16160673932478,7.703216550056318,637,"(De Facto) Percent of teachers present in their schools during an announced visit - Urban","Global Education Policy Dashboard","World Bank",NA
